scientific_name,TermTotalTrade,term
Macaca mulatta,1,skeletons
Macaca mulatta,1,skulls
Macaca mulatta,1,unspecified
Macaca nigra,1,bodies
Macaca nigra,1,specimens
Macaca radiata,1,specimens
Macaca silenus,1,skeletons
Macaca sinica,1,live
Macaca sinica,1,specimens
Macaca spp.,1,live
Macaca spp.,1,unspecified
Macaca sylvanus,1,bodies
Macaca sylvanus,1,hair
Macaca sylvanus,1,specimens
Macodes javanica,1,live
Macroclinium cordesii,1,live
Macroclinium glicensteinii,1,live
Macroclinium lineare,1,live
Macropidia fuliginosa,1,stems
Macrotis lagotis,1,specimens
Macrozamia communis,1,leaves
Macrozamia diplomera,1,live
Macrozamia glaucophylla,1,live
Macrozamia heteromera,1,live
Macrozamia johnsonii,1,live
Macrozamia lomandroides,1,live
Macrozamia lomandroides,1,seeds
Macrozamia machinii,1,live
Macrozamia miquelii,1,dried plants
Macrozamia moorei,1,seeds
Macrozamia mountperriensis,1,live
Macrozamia occidua,1,live
Macrozamia pauli-guilielmi,1,seeds
Macrozamia riedlei,1,flowers
Macrozamia riedlei,1,leaves
Macrozamia spp.,1,dried plants
Madracis auretenra,1,live
Madracis decactis,1,raw corals
Madracis decactis,1,specimens
Madracis formosa,1,live
Madracis kirbyi,1,raw corals
Madracis spp.,1,raw corals
Madracis spp.,1,specimens
Maihueniopsis glomerata,1,live
Malaxis hybrid,1,live
Malaxis perakensis,1,live
Malaxis spp.,1,dried plants
Malimbus nitens,1,live
Malleola ligulata,1,live
Mammillaria boelderliana,1,live
Mammillaria carnea,1,seeds
Mammillaria dioica,1,seeds
Mammillaria elongata,1,stems
Mammillaria flavicentra,1,live
Mammillaria haageana,1,seeds
Mammillaria halei,1,live
Mammillaria hutchisoniana,1,live
Mammillaria jaliscana,1,live
Mammillaria kraehenbuehlii,1,live
Mammillaria oteroi,1,live
Mammillaria pilispina,1,live
Mammillaria pondii,1,live
Mammillaria prolifera,1,graft rootstocks
Mammillaria rettigiana,1,live
Mammillaria sartorii,1,live
Mammillaria sinistrohamata,1,live
Mammillaria sphacelata,1,seeds
Mammillaria spp.,1,graft rootstocks
Mammillaria supertexta,1,dried plants
Mammillaria zublerae,1,live
Mandrillus leucophaeus,1,live
Mandrillus leucophaeus,1,skeletons
Mandrillus leucophaeus,1,specimens
Mandrillus sphinx,1,carvings
Mandrillus sphinx,1,hair
Manis gigantea,1,leather products (small)
Manis javanica,1,leather
Manis javanica,1,live
Manis javanica,1,scales
Manis pentadactyla,1,bodies
Manis pentadactyla,1,leather items
Manis pentadactyla,1,live
Manis spp.,1,bodies
Manis spp.,1,leather products (large)
Manis spp.,1,scales
Manis spp.,1,skins
Manis spp.,1,unspecified
Manis tetradactyla,1,bodies
Manis tricuspis,1,carvings
Manis tricuspis,1,scales
Manis tricuspis,1,specimens
Manouria impressa,1,shells
Manouria impressa,1,specimens
Mantella bernhardi,1,bodies
Mantella bernhardi,1,specimens
Mantella ebenaui,1,bodies
Mantella expectata,1,bodies
Mantella madagascariensis,1,bodies
Mantella nigricans,1,bodies
Mantella pulchra,1,specimens
Manucodia ater,1,trophies
Mapinguari auyantepuiensis,1,live
Marojejya darianii,1,seeds
Martes flavigula,1,live
Masdevallia acaroi,1,live
Masdevallia amabillis,1,live
Masdevallia amoena,1,live
Masdevallia atahualpa,1,live
Masdevallia belua,1,live
Masdevallia bryophila,1,live
Masdevallia cacodes,1,live
Masdevallia calagrasalis,1,live
Masdevallia caudivolvula,1,roots
Masdevallia collina,1,live
Masdevallia corazonica,1,live
Masdevallia cranion,1,live
Masdevallia crescenticola,1,live
Masdevallia deformis,1,specimens
Masdevallia dunstervillei,1,live
Masdevallia elachys,1,live
Masdevallia epallax,1,live
Masdevallia fasciata,1,live
Masdevallia gnoma,1,live
Masdevallia graminea,1,live
Masdevallia harlequina,1,live
Masdevallia heteroptera,1,live
Masdevallia hieroglyphica,1,roots
Masdevallia immensa,1,live
Masdevallia iris,1,live
Masdevallia isos,1,live
Masdevallia leontoglossa,1,live
Masdevallia lilianae,1,live
Masdevallia livingstoneana,1,live
Masdevallia maculata,1,roots
Masdevallia mandarina,1,live
Masdevallia marginella,1,live
Masdevallia microptera,1,live
Masdevallia midas,1,live
Masdevallia niesseniae,1,live
Masdevallia nitens,1,live
Masdevallia parvula,1,live
Masdevallia pelecaniceps,1,live
Masdevallia planadensis,1,live
Masdevallia replicata,1,live
Masdevallia rhinophora,1,live
Masdevallia rigens,1,live
Masdevallia rubeola,1,live
Masdevallia scobina,1,live
Masdevallia sprucei,1,live
Masdevallia strattoniana,1,live
Masdevallia strobelii,1,specimens
Masdevallia stumpflei,1,live
Masdevallia tentaculata,1,live
Masdevallia tokachiorum,1,live
Masdevallia urceolaris,1,live
Masdevallia ustulata,1,live
Masdevallia utriculata,1,live
Masdevallia veitchiana,1,dried plants
Masdevallia verecunda,1,live
Masdevallia wubbenii,1,live
Masdevallia zamorensis,1,live
Masdevallia zygia,1,live
Matucana huagalensis,1,live
Matucana oreodoxa,1,live
Maxillaria carinulata,1,live
Maxillaria christensonii,1,live
Maxillaria confusa,1,live
Maxillaria farinosa,1,live
Maxillaria huntii,1,live
Maxillaria serrulata,1,live
Maxillaria spp.,1,flowers
Maxillaria spp.,1,leaves
Maxillaria spp.,1,specimens
Maxillaria striata,1,roots
Maxillariella funicaulis,1,live
Mazama temama cerasina,1,bones
Mazama temama cerasina,1,carvings
Mazama temama cerasina,1,unspecified
Meandrina maeandrites,1,specimens
Megaptera novaeangliae,1,baleen
Megaptera novaeangliae,1,bone carvings
Megaptera novaeangliae,1,bone pieces
Megaptera novaeangliae,1,bones
Megaptera novaeangliae,1,teeth
Meiracyllium wendlandi,1,live
Melanochelys trijuga,1,live
Melanoperdix niger,1,live
Melanosuchus niger,1,bodies
Melanosuchus niger,1,scales
Melanosuchus niger,1,skin pieces
Melanosuchus niger,1,skulls
Meleagris ocellata,1,feathers
Meleagris ocellata,1,skins
Meleagris ocellata,1,specimens
Meleagris ocellata,1,unspecified
Meliaceae spp.,1,carvings
Meliaceae spp.,1,wood product
Melierax canorus,1,bodies
Melierax canorus,1,eggshell
Melierax canorus,1,skins
Melierax poliopterus,1,live
Mellisuga minima,1,specimens
Mellivora capensis,1,live
Mellivora capensis,1,tails
Mellivora capensis,1,teeth
Melocactus curvispinus,1,seeds
Melocactus lemairei,1,live
Melursus ursinus,1,specimens
Menyanthes trifoliata,1,leaves
Merulina ampliata,1,carvings
Merulina scabricula,1,raw corals
Mesoplodon bidens,1,specimens
Mesoplodon bowdoini,1,skulls
Mesoplodon densirostris,1,skulls
Mesoplodon densirostris,1,specimens
Mesoplodon europaeus,1,specimens
Mesoplodon grayi,1,teeth
Mesoplodon layardii,1,skulls
Mesoplodon peruvianus,1,specimens
Mesospinidium panamense,1,live
Metallura eupogon,1,specimens
Metallura spp.,1,specimens
Metallura tyrianthina,1,live
Metallura williami,1,specimens
Micranthocereus albicephalus,1,live
Micranthocereus flaviflorus,1,live
Micrastur gilvicollis,1,feathers
Micrastur ruficollis,1,specimens
Micrastur semitorquatus,1,specimens
Microcebus berthae,1,hair
Microcebus murinus,1,bodies
Microcebus ravelobensis,1,hair
Microcebus ravelobensis,1,specimens
Microcebus rufus,1,hair
Microcebus rufus,1,live
Microcebus rufus,1,specimens
Microcebus sambiranensis,1,specimens
Microcebus spp.,1,hair
Microcebus spp.,1,live
Microcoelia caespitosa,1,live
Microcoelia exilis,1,live
Microcycas calocoma,1,live
Microhierax erythrogenys,1,live
Microhierax erythrogenys,1,skins
Micromussa diminuta,1,raw corals
Micronisus gabar,1,live
Micropsitta keiensis,1,specimens
Micropsitta pusio,1,specimens
Microsaccus brevifolius,1,live
Microstilbon burmeisteri,1,specimens
Microtis parviflora,1,roots
Millepora alcicornis,1,raw corals
Millepora dichotoma,1,raw corals
Milleporidae spp.,1,carvings
Milleporidae spp.,1,raw corals
Miltonia binotii,1,live
Miltonia regnelli,1,live
Miltonia spp.,1,flowers
Milvago chimachima,1,live
Milvago chimachima,1,specimens
Milvago chimango,1,specimens
Milvus milvus,1,eggs
Milvus milvus,1,specimens
Miopithecus talapoin,1,specimens
Mirounga leonina,1,claws
Mirounga leonina,1,hair
Mirounga leonina,1,live
Monachus schauinslandi,1,specimens
Monachus spp.,1,specimens
Monodon monoceros,1,bodies
Monodon monoceros,1,derivatives
Monodon monoceros,1,scraps
Monodon monoceros,1,unspecified
Monomyces rubrum,1,raw corals
Montastrea annularis,1,live
Montastrea cavernosa,1,live
Montastrea curta,1,specimens
Montastrea franksi,1,raw corals
Montastrea franksi,1,specimens
Montastrea magnistellata,1,raw corals
Montipora caliculata,1,specimens
Montipora capitata,1,live
Montipora cebuensis,1,live
Montipora cocosensis,1,live
Montipora delicatula,1,live
Montipora digitata,1,specimens
Montipora hispida,1,unspecified
Montipora hodgsonii,1,live
Montipora monasteriata,1,specimens
Montipora orientalis,1,live
Montipora pachytuberculata,1,raw corals
Montipora spp.,1,carvings
Montipora spumosa,1,raw corals
Montipora stilosa,1,specimens
Montipora tuberculosa,1,raw corals
Montipora tuberculosa,1,specimens
Montipora turgescens,1,specimens
Montipora vietnamensis,1,live
Morelia amethistina,1,leather products (small)
Morelia amethistina,1,unspecified
Morelia bredli,1,leather
Morelia bredli,1,shoes
Morelia carinata,1,live
Morelia spp.,1,specimens
Mormodes hookeri,1,live
Mormodes horichii,1,live
Mormodes tuxtlensis,1,live
Mormolyca lehmanii,1,live
Mormolyca spp.,1,dried plants
Morpho godartii lachaumei,1,bodies
Moschus chrysogaster,1,trophies
Moschus moschiferus,1,feet
Moschus moschiferus,1,powder
Moschus moschiferus,1,trophies
Moschus spp.,1,extract
Moschus spp.,1,horn carvings
Moschus spp.,1,oil
Mussa angulosa,1,raw corals
Mussismilia braziliensis,1,raw corals
Mussismilia hispida,1,specimens
Mustela altaica,1,leather items
Mustela altaica,1,plates
Mustela altaica,1,skins
Mustela erminea ferghanae,1,plates
Mustela erminea ferghanae,1,skin pieces
Mustela nigripes,1,specimens
Mustela sibirica,1,carvings
Mustela sibirica,1,specimens
Mycetophyllia aliciae,1,specimens
Mycetophyllia lamarckiana,1,raw corals
Myiopsitta monachus,1,eggs (live)
Myiopsitta monachus,1,extract
Myoxanthus spp.,1,specimens
Myriopathes japonica,1,leather products (small)
Myrmecophaga tridactyla,1,garments
Myrmecophaga tridactyla,1,skeletons
Myrmecophila albopurpurea,1,live
Myrmecophila christinae,1,live
Myrmia micrura,1,specimens
Myrosmodes spp.,1,dried plants
Myrtillocactus eichlamii,1,live
Myrtillocactus geometrizans,1,seeds
Mystacidium capense,1,live
Nadzikambia baylissi,1,specimens
Naemorhedus goral,1,bodies
Naemorhedus goral,1,carvings
Naemorhedus goral,1,horn pieces
Naemorhedus goral,1,live
Naemorhedus goral,1,specimens
Naja atra,1,live
Naja kaouthia,1,shoes
Naja naja,1,gall bladders
Naja naja,1,venom
Naja philippinensis,1,specimens
Naja siamensis,1,derivatives
Naja siamensis,1,live
Naja spp.,1,leather items
Naja sputatrix,1,skin pieces
Naja sumatrana,1,bodies
Namazonurus campbelli,1,specimens
Namazonurus lawrenci,1,specimens
Namazonurus peersi,1,live
Nandayus nenday,1,skeletons
Nanger dama,1,skulls
Nasalis larvatus,1,live
Nasua narica,1,specimens
Nasua nasua,1,bodies
Nasua nasua,1,skeletons
Nasua spp.,1,live
Natator depressus,1,bodies
Natator depressus,1,leather items
Natator depressus,1,scales
Natator depressus,1,shoes
Naultinus grayii,1,live
Nautilus pompilius,1,jewellery
Necrosyrtes monachus,1,skins
Nectophrynoides asperginis,1,live
Neobathiea grandidierana,1,live
Neoceratodus forsteri,1,bodies
Neoceratodus forsteri,1,specimens
Neoclemensia spathulata,1,live
Neofelis nebulosa,1,bodies
Neofelis nebulosa,1,skins
Neofelis nebulosa,1,specimens
Neofinetia falcata,1,cultures
Neofinetia falcata,1,derivatives
Neofinetia falcata,1,extract
Neofinetia hybrid,1,live
Neogyna spp.,1,live
Neophema chrysostoma,1,specimens
Neophema pulchella,1,specimens
Neophocaena phocaenoides,1,bodies
Neophocaena phocaenoides,1,teeth
Neophron percnopterus,1,feathers
Neopsephotus bourkii,1,specimens
Neoraimondia arequipensis,1,live
Neotis denhami,1,trophies
Neottia acuminata,1,specimens
Neowilliamsia spp.,1,live
Nepenthaceae spp.,1,live
Nepenthes ampullaria,1,cultures
Nepenthes anamensis,1,live
Nepenthes angasanensis,1,live
Nepenthes bicalcarata,1,dried plants
Nepenthes bicalcarata,1,specimens
Nepenthes bongso,1,cultures
Nepenthes clipeata,1,live
Nepenthes danseri,1,live
Nepenthes deaniana,1,live
Nepenthes hamata,1,cultures
Nepenthes hirsuta,1,cultures
Nepenthes hookeriana,1,cultures
Nepenthes hybrid,1,derivatives
Nepenthes jamban,1,live
Nepenthes kerrii,1,live
Nepenthes khasiana,1,cultures
Nepenthes klossii,1,live
Nepenthes macrophylla,1,live
Nepenthes masaolensis,1,live
Nepenthes mindanaoensis,1,live
Nepenthes mirabilis,1,dried plants
Nepenthes philippinensis,1,live
Nepenthes reinwardtiana,1,cultures
Nepenthes singalana,1,cultures
Nepenthes spp.,1,flowers
Nepenthes stenophylla,1,cultures
Nepenthes treubiana,1,live
Nepenthes truncata,1,cultures
Nepenthes trusmadiensis,1,live
Nervilia plicata,1,leaves
Nervilia punctata,1,leaves
Nervilia spp.,1,leaves
Nesoenas mayeri,1,bodies
Nestor meridionalis,1,live
Nestor meridionalis,1,specimens
Nestor notabilis,1,bodies
Neuwiedia spp.,1,live
Nidema ottonis,1,live
Nigrita bicolor,1,bodies
Nigrita canicapilla,1,bodies
Nigrita canicapilla,1,live
Nigrita fusconota,1,live
Nigrita luteifrons,1,live
Ninox scutulata,1,specimens
Nipponia nippon,1,specimens
Northiella haematogaster,1,bodies
Northiella haematogaster,1,specimens
Notomys alexis,1,live
Notophyllia recta,1,specimens
Notophyllia spp.,1,live
Notylia spp.,1,dried plants
Nyctea scandiaca,1,eggs
Nyctea scandiaca,1,feathers
Nyctea scandiaca,1,skulls
Nyctea scandiaca,1,trophies
Nycticebus bengalensis,1,specimens
Nycticebus spp.,1,bones
Nycticebus spp.,1,feet
Nycticebus spp.,1,skin pieces
Nycticebus spp.,1,unspecified
Nyctocereus spp.,1,live
Oberonia anceps,1,live
Oberonia costeriana,1,live
Oberonia leytensis,1,live
Oberonia lunata,1,live
Oberonia padangensis,1,live
Oberonia spp.,1,cultures
Oberonia spp.,1,flowers
Oberonia spp.,1,leaves
Obregonia spp.,1,live
Ocreatus underwoodii,1,bodies
Octarrhena spp.,1,live
Octomeria bomboizae,1,live
Octomeria portillae,1,live
Octomeria scirpoidea,1,live
Oculina diffusa,1,raw corals
Oculina spp.,1,live
Odobenus rosmarus,1,claws
Odobenus rosmarus,1,hair
Odobenus rosmarus,1,jewellery - ivory 
Odobenus rosmarus,1,leather products (large)
Odobenus rosmarus,1,meat
Odocoileus virginianus mayensis,1,bone carvings
Odocoileus virginianus mayensis,1,bones
Odocoileus virginianus mayensis,1,carvings
Odocoileus virginianus mayensis,1,garments
Odocoileus virginianus mayensis,1,trophies
Odontoglossum spp.,1,cultures
Odontoglossum spp.,1,roots
Oena capensis,1,bodies
Oeoniella spp.,1,live
Oncidium ascendens,1,live
Oncidium auriculatum,1,live
Oncidium calochilum,1,live
Oncidium constrictum,1,live
Oncidium cruentoides,1,live
Oncidium dichromaticum,1,live
Oncidium dilatatum,1,live
Oncidium dracoceps,1,live
Oncidium epidendroides,1,live
Oncidium fuscatum,1,cultures
Oncidium heteranthum,1,dried plants
Oncidium hybrid,1,dried plants
Oncidium kegeljanii,1,live
Oncidium luteum,1,live
Oncidium multistellare,1,live
Oncidium nevadense,1,live
Oncidium nobile,1,live
Oncidium parviflorum,1,live
Oncidium pastasae,1,live
Oncidium picturatum,1,live
Oncidium portilloides,1,live
Oncidium portmannii,1,live
Oncidium reflexum,1,live
Oncidium reversoides,1,live
Oncidium schroederianum,1,live
Oncidium spp.,1,roots
Oncidium spp.,1,specimens
Oncidium tigroides,1,live
Oncidium tripudians,1,live
Oncidium urophyllum,1,live
Oncidium velleum,1,live
Oncidium vulcanicum,1,live
Oophaga histrionica,1,bodies
Oophaga lehmanni,1,live
Oophaga pumilio,1,eggs
Oophaga speciosa,1,live
Oophaga sylvatica,1,specimens
Ophiophagus hannah,1,bodies
Ophiophagus hannah,1,derivatives
Ophiophagus hannah,1,leather items
Ophiophagus hannah,1,leather products (small)
Ophiophagus hannah,1,skins
Ophiophagus hannah,1,venom
Ophrys fusca,1,live
Ophrys holoserica,1,live
Ophrys insectifera,1,dried plants
Ophrys reinholdii,1,live
Ophrys scolopax,1,live
Ophrys sphegodes,1,live
Opuntia atrispina,1,live
Opuntia aurea,1,live
Opuntia aureispina,1,live
Opuntia boldinghii,1,live
Opuntia caracassana,1,live
Opuntia decumbens,1,live
Opuntia decumbens,1,seeds
Opuntia elatior,1,live
Opuntia ficus-indica,1,derivatives
Opuntia ficus-indica,1,flowers
Opuntia ficus-indica,1,stems
Opuntia galapageia,1,live
Opuntia gosseliniana,1,live
Opuntia martiniana,1,live
Opuntia monacantha,1,graft rootstocks
Opuntia pilifera,1,seeds
Opuntia salmiana,1,live
Opuntia sanguinea,1,live
Opuntia spp.,1,stems
Opuntia spp.,1,timber
Opuntia streptacantha,1,dried plants
Opuntia streptacantha,1,extract
Opuntia streptacantha,1,powder
Opuntia triacantha,1,specimens
Opuntia velutina,1,dried plants
Opuntia vulgaris,1,live
Orcaella brevirostris,1,bodies
Orcaella brevirostris,1,teeth
Orchidaceae hybrid,1,dried plants
Orchidaceae hybrid,1,seeds
Orchidaceae spp.,1,fruit
Orchidaceae spp.,1,medicine
Orchis anatolica,1,roots
Orchis morio,1,live
Orchis papilionacea,1,live
Orchis provincialis,1,live
Orchis purpurea,1,live
Orchis sancta,1,seeds
Oreomunnea pterocarpa,1,carvings
Oreonympha nobilis,1,specimens
Oreotrochilus melanogaster,1,specimens
Orleanesia spp.,1,live
Ornithidium sophronitis,1,live
Ornithocephalus bonitensis,1,live
Ornithocephalus cochleariformis,1,live
Ornithocephalus iridifolius,1,live
Ornithocephalus spp.,1,dried plants
Ornithocephalus spp.,1,specimens
Ornithoptera aesacus,1,live
Ornithoptera aesacus,1,specimens
Ornithoptera aesacus,1,trophies
Ornithoptera chimaera,1,live
Ornithoptera chimaera,1,specimens
Ornithoptera croesus,1,live
Ornithoptera goliath,1,trophies
Ornithoptera priamus,1,derivatives
Ornithoptera tithonus,1,unspecified
Ornithoptera victoriae,1,specimens
Ornithoptera victoriae,1,trophies
Orothamnus zeyheri,1,live
Ortalis vetula,1,bodies
Ortalis vetula,1,live
Ortalis vetula,1,trophies
Orycteropus afer,1,live
Orycteropus afer,1,trophies
Oryx dammah,1,skulls
Oryx dammah,1,specimens
Oryx leucoryx,1,bodies
Oryx leucoryx,1,skulls
Osmoglossum convallarioides,1,live
Osteolaemus tetraspis,1,shoes
Osteolaemus tetraspis,1,specimens
Otis tarda,1,bodies
Otis tarda,1,feathers
Otis tarda,1,specimens
Otochilus spp.,1,dried plants
Otoglossum chiriquense,1,live
Otoglossum spp.,1,dried plants
Otolemur crassicaudatus,1,skins
Otolemur garnettii,1,live
Otolemur spp.,1,specimens
Otus albogularis,1,specimens
Otus asio,1,bone carvings
Otus asio,1,specimens
Otus flammeolus,1,skins
Otus roboratus,1,live
Otus rutilus,1,feathers
Otus scops,1,bodies
Otus scops,1,specimens
Otus spp.,1,specimens
Otus trichopsis,1,specimens
Otus vermiculatus,1,bodies
Otus watsonii,1,bodies
Otus watsonii,1,skeletons
Oulophyllia spp.,1,raw corals
Ovis ammon,1,garments
Ovis ammon,1,plates
Ovis ammon,1,unspecified
Ovis ammon hodgsonii,1,cloth
Ovis ammon nigrimontana,1,trophies
Ovis aries,1,carvings
Ovis aries,1,skulls
Ovis aries cycloceros,1,live
Ovis aries ophion,1,skins
Ovis canadensis,1,feet
Ovis canadensis,1,live
Ovis canadensis,1,skulls
Oxypora spp.,1,specimens
Pabstia spp.,1,leaves
Pabstiella aurantiaca,1,live
Pabstiella piraquarensis,1,live
Pacherocactus orcuttii,1,live
Pachycereus gaumeri,1,live
Pachycereus pecten-aboriginum,1,seeds
Pachycereus pringlei,1,dried plants
Pachycereus pringlei,1,timber
Pachycereus spp.,1,seeds
Pachyphyllum spp.,1,specimens
Pachypodium ambongense,1,live
Pachypodium baronii,1,dried plants
Pachypodium enigmaticum,1,live
Pachypodium succulentum,1,seeds
Pachyseris speciosa,1,specimens
Pachystoma spp.,1,live
Palauastrea spp.,1,raw corals
Paleosuchus palpebrosus,1,bodies
Paleosuchus palpebrosus,1,leather items
Paleosuchus spp.,1,leather items
Paleosuchus spp.,1,leather products (small)
Paleosuchus spp.,1,live
Paleosuchus spp.,1,skins
Paleosuchus trigonatus,1,bodies
Palleon nasus,1,live
Palleon nasus,1,specimens
Pan troglodytes,1,skeletons
Pan troglodytes,1,trophies
Pandinus dictator,1,bodies
Pandion haliaetus,1,live
Pandion haliaetus,1,skins
Pangasianodon gigas,1,specimens
Pangshura smithii,1,live
Pangshura tecta,1,live
Pangshura tentoria,1,live
Panisea apiculata,1,live
Panisea demissa,1,live
Panisea spp.,1,leaves
Panthera leo,1,bone carvings
Panthera leo,1,bone pieces
Panthera leo,1,feet
Panthera leo,1,garments
Panthera leo,1,leather items
Panthera leo,1,leather products (large)
Panthera leo,1,rug
Panthera leo,1,shoes
Panthera leo persica,1,skulls
Panthera leo persica,1,specimens
Panthera onca,1,derivatives
Panthera onca,1,trophies
Panthera pardus,1,oil
Panthera pardus,1,skin pieces
Panthera tigris,1,bone products
Panthera tigris,1,carvings
Panthera tigris,1,garments
Panthera tigris,1,rug
Panthera tigris,1,skeletons
Panthera tigris,1,skulls
Pantholops hodgsonii,1,derivatives
Pantholops hodgsonii,1,trophies
Papasula abbotti,1,specimens
Papasula abbotti,1,unspecified
Paphiopedilum affine,1,live
Paphiopedilum charlesworthii,1,cultures
Paphiopedilum charlesworthii,1,dried plants
Paphiopedilum godefroyae,1,roots
Paphiopedilum gratrixianum,1,dried plants
Paphiopedilum henryanum,1,dried plants
Paphiopedilum hybrid,1,flowers
Paphiopedilum javanicum,1,cultures
Paphiopedilum lowii,1,cultures
Paphiopedilum mohrianum,1,live
Paphiopedilum sanderianum,1,cultures
Paphiopedilum schoseri,1,live
Papilionanthe subulata,1,live
Papilionanthe teres,1,extract
Papilionanthe teres,1,stems
Papilionanthe teres,1,unspecified
Papillilabium beckleri,1,live
Papio hamadryas,1,bones
Papio hamadryas,1,garments
Papio spp.,1,teeth
Papio ursinus,1,carvings
Papio ursinus,1,feet
Papio ursinus,1,garments
Papperitzia leiboldii,1,live
Papustyla pulcherrima,1,shells
Parabuteo unicinctus,1,bodies
Parabuteo unicinctus,1,feathers
Parabuteo unicinctus,1,specimens
Paracyathus spp.,1,raw corals
Paracyathus spp.,1,specimens
Paradisaea apoda,1,bodies
Paradisaea apoda,1,feathers
Paradisaea apoda,1,specimens
Paradisaea minor,1,unspecified
Paradisaea raggiana,1,bodies
Paradisaea raggiana,1,specimens
Paradisaeidae spp.,1,bodies
Paradisaeidae spp.,1,live
Paradisaeidae spp.,1,skin pieces
Paradoxurus hermaphroditus,1,bodies
Parantipathes spp.,1,specimens
Paraphalaenopsis laycocki,1,live
Paroaria coronata,1,specimens
Parodia alacriportana,1,live
Parodia alacriportana,1,seeds
Parodia arnostiana,1,live
Parodia ayopayana,1,live
Parodia carambeiensis,1,live
Parodia formosa,1,live
Parodia nigrispina,1,live
Parodia otaviana,1,live
Parodia rudibuenekeri,1,dried plants
Parotia carolae,1,live
Parotia lawesii,1,bodies
Parotia lawesii,1,specimens
Parotia wahnesi,1,feathers
Passer griseus,1,live
Patagona gigas,1,bodies
Pauxi pauxi,1,bodies
Pavo cristatus,1,carvings
Pavo cristatus,1,garments
Pavo cristatus,1,skins
Pavo cristatus,1,specimens
Pavo muticus,1,bodies
Pavo muticus,1,skin pieces
Pavona clavus,1,live
Pavona decussata,1,carvings
Pavona divaricata,1,raw corals
Pavona explanulata,1,raw corals
Pavona frondifera,1,raw corals
Pavona gigantea,1,specimens
Pavona spp.,1,specimens
Pavona venosa,1,specimens
Pecari tajacu,1,skin scraps
Pecari tajacu,1,specimens
Pecari tajacu,1,teeth
Pectinia paeonia,1,raw corals
Pectinia spp.,1,derivatives
Pediocactus bradyi despainii,1,live
Pediocactus spp.,1,live
Pelecanus crispus,1,skeletons
Pelexia callifera,1,live
Pelomedusa subrufa,1,carapaces
Pelomedusa subrufa,1,specimens
Pelusios adansonii,1,live
Pelusios spp.,1,skin pieces
Penelope albipennis,1,live
Penelopides panini,1,specimens
Peniocereus greggii,1,live
Peniocereus viperinus,1,live
Pennilabium spp.,1,live
Pereskia aculeata,1,dried plants
Pereskia grandifolia,1,live
Pereskia guamacho,1,live
Pereskia horrida horrida,1,live
Pereskia stenantha,1,live
Pereskiopsis diguetii,1,live
Pereskiopsis porteri,1,live
Pereskiopsis spp.,1,live
Peristeranthus spp.,1,live
Pernis apivorus,1,eggs
Pernis apivorus,1,live
Pernis apivorus,1,specimens
Pernis ptilorhynchus,1,bodies
Pescatoria pulvinaris,1,live
Petrophyllia rediviva,1,live
Petrophyllia spp.,1,live
Pfeiffera ianthothele,1,live
Phaethornis aethopyga,1,bodies
Phaethornis augusti,1,skeletons
Phaethornis bourcieri,1,specimens
Phaethornis griseogularis,1,live
Phaethornis guy,1,live
Phaethornis guy,1,specimens
Phaethornis longirostris,1,specimens
Phaethornis malaris,1,bodies
Phaethornis malaris,1,specimens
Phaethornis philippii,1,bodies
Phaethornis philippii,1,specimens
Phaethornis ruber,1,bodies
Phaethornis striigularis,1,skins
Phaethornis superciliosus,1,live
Phaethornis superciliosus,1,shells
Phaethornis syrmatophorus,1,specimens
Phaius callosus,1,live
Phaius flavus,1,stems
Phaius fragilis,1,live
Phaius indigoferus,1,live
Phaius pauciflorus,1,live
Phaius tancarvilliae,1,live
Phaius tankervilleae,1,dried plants
Phalaenopsis amabilis,1,fruit
Phalaenopsis fuscata,1,live
Phalaenopsis hybrid,1,flower pots
Phalaenopsis hybrid,1,seeds
Phalaenopsis lamelligera,1,live
Phalaenopsis parishii,1,cultures
Phalaenopsis reichenbachiana,1,live
Phalaenopsis spp.,1,dried plants
Phalaenopsis spp.,1,flowers
Phalaenopsis spp.,1,timber
Phalaenopsis taenialis,1,live
Phalanger spp.,1,specimens
Phalcoboenus megalopterus,1,live
Phalcoboenus megalopterus,1,skins
Phalcoboenus megalopterus,1,specimens
Pharomachrus mocinno,1,live
Pharomachrus mocinno,1,specimens
Phelsuma cepediana,1,specimens
Phelsuma guttata,1,specimens
Phelsuma mutabilis,1,bodies
Phelsuma nigristriata,1,live
Phelsuma parkeri,1,live
Phelsuma pusilla,1,bodies
Phelsuma quadriocellata,1,bodies
Phelsuma quadriocellata,1,specimens
Phelsuma serraticauda,1,bodies
Phelsuma spp.,1,bodies
Phelsuma spp.,1,specimens
Phelsuma standingi,1,bodies
Philantomba monticola,1,bones
Philantomba monticola,1,horns
Phocoena dioptrica,1,specimens
Phocoena phocoena,1,live
Phocoena phocoena,1,skulls
Phoeniconaias minor,1,bodies
Phoeniconaias minor,1,derivatives
Phoeniconaias minor,1,jewellery
Phoeniconaias minor,1,skeletons
Phoeniconaias minor,1,skins
Phoeniconaias minor,1,specimens
Phoenicoparrus andinus,1,specimens
Phoenicoparrus jamesi,1,feathers
Phoenicopteridae spp.,1,live
Phoenicopterus chilensis,1,feathers
Pholidota gibbosa,1,live
Pholidota parviflora,1,live
Pholidota spp.,1,leaves
Pholidota ventricosa,1,live
Phragmipedium besseae,1,seeds
