scientific_name,TermTotalTrade,term
Chlorocebus sabaeus,158,specimens
Austrocylindropuntia cylindrica,157,live
Caiman crocodilus,157,shoes
Montipora spp.,157,raw corals
Python sebae,157,live
Myriopathes japonica,156,carvings
Stenocereus thurberi,156,live
Accipiter gentilis,155,live
Ara macao,155,live
Cattleya walkeriana,154,live
Echinocactus spp.,154,live
Rhipsalis pilocarpa,154,live
Ascocentrum miniatum,153,live
Furcifer lateralis,153,live
Neopsephotus bourkii,152,live
Cynarina lacrymalis,152,raw corals
Aquilaria spp.,151,chips
Caulastraea spp.,151,raw corals
Corallium secundum,151,carvings
Denmoza rhodacantha,151,live
Euphorbia horrida,151,live
Pilosocereus chrysacanthus,151,live
Cerberus rynchops,150,leather products (small)
Corallium elatius,150,carvings
Hippopus hippopus,150,shells
Loxodonta africana,150,tails
Dendrobates auratus,149,live
Mammillaria polythele,149,live
Platycercus adscitus,149,live
Acinonyx jubatus,149,trophies
Crocodylus novaeguineae,149,leather products (large)
Cymbidium goeringii,149,live
Ceratotherium simum simum,148,trophies
Tayassu pecari,148,leather products (small)
Aloe brevifolia,147,live
Lontra canadensis,146,garments
Montipora foliosa,146,live
Platystele spp.,146,live
Pyrrhura molinae,146,live
Mustela sibirica,145,garments
Acropora loripes,145,live
Amazona oratrix,145,live
Ariocarpus fissuratus,145,seeds
Python brongersmai,144,skins
Neofinetia falcata,143,live
Candoia carinata,143,live
Tillandsia harrisii,143,live
Pachypodium spp.,142,live
Miltonia spectabilis,141,live
Rebutia minuscula,141,live
Ascocentrum ampullaceum,141,live
Crocodylus niloticus,141,shoes
Kinixys belliana,141,live
Lagonosticta senegala,141,live
Ludisia discolor,140,live
Neophema pulchella,140,live
Salvator merianae,140,shoes
Chlorocebus aethiops,140,live
Crocodylus niloticus,140,leather items
Aquilaria malaccensis,139,oil
Cordylus tropidosternum,139,live
Lorius garrulus,139,live
Mammillaria decipiens,139,live
Psittacula eupatria,138,live
Ara severus,138,live
Crocodylus porosus,138,leather items
Gonystylus spp.,138,timber
Kinixys homeana,138,live
Dendrobium thyrsiflorum,137,live
Euphyllia cristata,137,raw corals
Aloe peglerae,137,live
Amazona albifrons,137,live
Coelogyne spp.,137,live
Rhynchostylis retusa,136,live
Varanus doreanus,136,live
Felis silvestris,136,trophies
Pachycereus marginatus,135,live
Arctocephalus pusillus,135,skins
Poicephalus gulielmi,134,live
Python sebae,134,skins
Hatiora salicornioides,134,live
Tupinambis teguixin,134,skin pieces
Ursus americanus,134,claws
Scaphosepalum spp.,133,live
Morelia amethistina,133,live
Plerogyra sinuosa,133,raw corals
Canis lupus,133,bodies
Galanthus elwesii,133,live
Mammillaria backebergiana,132,live
Sophronitis coccinea,132,live
Varanus albigularis,132,live
Candoia aspera,132,live
Cymbidium aloifolium,132,live
Acanthastrea lordhowensis,131,live
Amandava subflava,131,live
Callithrix jacchus,131,live
Coleocephalocereus aureus,131,live
Dendrophyllia spp.,131,live
Eguchipsammia fistula,131,raw corals
Furcifer oustaleti,131,live
Swietenia macrophylla,131,timber
Tubipora musica,131,raw corals
Caiman crocodilus crocodilus,130,live
Psittacus erithacus timneh,130,live
Eria spp.,130,live
Gymnocalycium saglionis,129,live
Blastomussa spp.,129,live
Varanus jobiensis,129,live
Mammillaria albilanata,129,live
Polytelis alexandrae,129,live
Aloe broomii,128,live
Brassavola nodosa,128,live
Dendrobates tinctorius,128,live
Dracula spp.,128,live
Eriosyce spp.,128,live
Gonystylus spp.,128,carvings
Tridacna maxima,128,shells
Cattleya violacea,127,live
Chlorocebus pygerythrus,127,trophies
Crocodylus novaeguineae,127,leather items
Parodia haselbergii,127,live
Dendrobium farmeri,127,live
Diploastrea heliopora,127,live
Acropora echinata,126,live
Mammillaria parkinsonii,125,live
Python curtus,125,leather products (large)
Python curtus,125,shoes
Forpus coelestis,124,live
Acropora nasuta,124,live
Daboia russelii,124,leather products (small)
Aquila chrysaetos,123,feathers
Aquilaria filaria,123,powder
Cattleya maxima,123,live
Dalbergia melanoxylon,123,wood product
Python sebae,123,shoes
Swietenia macrophylla,123,veneer
Tridacna squamosa,123,shells
Varanus salvadorii,123,live
Heliofungia actiniformis,123,raw corals
Ferocactus wislizeni,122,live
Papio hamadryas,122,trophies
Crocodylus siamensis,122,bodies
Acipenser baerii,121,cosmetics
Ptyas mucosus,121,live
Gymnocalycium stenopleurum,121,live
Dendrobium parishii,120,live
Goniastrea pectinata,120,live
Puma concolor,120,skulls
Astrophytum asterias,120,live
Cattleya loddigesii,120,live
Saussurea costus,120,roots
Laelia spp.,119,live
Leiothrix lutea,119,live
Acipenser transmontanus,119,eggs
Acropora nana,119,live
Caiman crocodilus fuscus,118,tails
Turbinicarpus schmiedickeanus,118,seeds
Paphinia spp.,118,live
Platycercus icterotis,118,live
Euphyllia glabrescens,118,raw corals
Echinophyllia aspera,117,live
Encyclia spp.,117,live
Estrilda caerulescens,117,live
Loxodonta africana,117,leather items
Crocodylus niloticus,117,skulls
Acipenser baerii,116,bodies
Cyrtochilum spp.,116,live
Naja naja,116,live
Parodia scopa,116,live
Neophema splendida,115,live
Phragmipedium spp.,115,live
Porroglossum spp.,115,live
Python brongersmai,115,live
Ursus americanus,115,bones
Acropora horrida,115,live
Caiman crocodilus yacare,114,garments
Polaskia chende,114,live
Echinocereus spp.,114,live
Goniopora stokesi,114,raw corals
Leptastrea spp.,114,live
Deroptyus accipitrinus,113,live
Elephas maximus,113,live
Euphyllia ancora,113,raw corals
Mammillaria muehlenpfordtii,113,live
Parodia schumanniana,113,live
Brassia hybrid,113,live
Dalbergia latifolia,113,sawn wood
Seriatopora caliendrum,113,live
Pachyseris rugosa,112,live
Antipatharia spp.,112,carvings
Aratinga jandaya,112,live
Aloe humilis,111,live
Naja naja,111,leather products (small)
Parodia crassigibba,111,live
Poicephalus meyeri,111,live
Montipora verrucosa,110,live
Opuntia engelmannii,110,live
Serinus leucopygius,110,live
Ursus arctos,110,live
Haliotis midae,110,meat
Acropora hyacinthus,110,raw corals
Acropora secale,110,live
Calabaria reinhardtii,110,live
Coleocephalocereus buxbaumianus,110,live
Crocodylus siamensis,110,live
Cynarina spp.,110,raw corals
Austrocylindropuntia vestita,109,live
Caiman crocodilus,109,leather products (large)
Zygopetalum hybrid,109,live
Restrepia spp.,109,live
Goniastrea retiformis,109,live
Lycaste spp.,109,live
Eretmochelys imbricata,108,carvings
Hydnophora spp.,108,raw corals
Blastomussa merleti,108,live
Caiman crocodilus fuscus,108,sides
Cattleya bicolor,108,live
Chiloschista spp.,108,live
Brassia spp.,107,live
Lama guanicoe,107,garments
Uromastyx geyri,107,live
Vidua macroura,107,live
Mycedium spp.,107,live
Manouria emys,106,live
Physogyra spp.,106,raw corals
Ptyas mucosus,106,skin pieces
Rhipsalis teres,106,live
Dichaea spp.,106,live
Dionaea muscipula,106,extract
Haageocereus versicolor,105,live
Mormodes spp.,105,live
Polytelis anthopeplus,105,live
Saimiri sciureus,105,live
Aratinga acuticaudata,105,live
Zamia furfuracea,105,live
Mustela sibirica,104,hair products
Ferocactus hamatacanthus,104,live
Hippopotamus amphibius,104,carvings
Kinyongia tavetana,104,live
Euplectes orix,103,live
Mammillaria pringlei,103,live
Pericopsis elata,103,timber
Ursus maritimus,103,skulls
Aloe reitzii,103,live
Cyphastrea serailia,103,live
Cacatua goffiniana,102,live
Cattleya amethystoglossa,102,live
Cochlioda spp.,102,live
Crocodylus niloticus,102,meat
Cyclamen purpurascens,102,medicine
Odobenus rosmarus,102,tusks
Pan troglodytes,102,live
Salvator merianae,102,leather products (large)
Gonystylus bancanus,102,timber pieces
Leptailurus serval,102,trophies
Stanhopea spp.,102,live
Thelocactus setispinus,102,live
Ursus americanus,101,garments
Varanus spp.,101,leather products (small)
Pachyseris spp.,101,live
Bolborhynchus lineola,101,live
Coryanthes spp.,101,live
Eulychnia acida,101,stems
Euphorbia trigona,101,live
Goniopora lobata,101,raw corals
Ionopsis utricularioides,100,live
Trichoglottis spp.,100,live
Acropora caroliniana,100,live
Acropora yongei,100,live
Caiman crocodilus crocodilus,100,garments
Bulnesia sarmientoi,99,logs
Cheilinus undulatus,99,live
Dendrobium aggregatum,99,live
Hoodia gordonii,99,derivatives
Parabuteo unicinctus,99,live
Phoenicopterus ruber,99,live
Psittacula alexandri,99,live
Dendrochilum spp.,98,live
Browningia hertlingiana,98,live
Cleisostoma spp.,98,live
Cetacea spp.,97,carvings
Mammillaria supertexta,97,live
Varanus salvator,97,garments
Schlumbergera hybrid,96,live
Acipenseriformes spp.,96,derivatives
Acropora divaricata,96,live
Acropora granulosa,96,live
Ariocarpus retusus,96,seeds
Mammillaria plumosa,96,live
Melocactus spp.,96,live
Naja sputatrix,96,skins
Papio cynocephalus,96,trophies
Tayassu pecari,95,shoes
Troides helena,95,live
Elleanthus spp.,95,live
Acropora parilis,95,live
Acipenser baerii,94,live
Physeter macrocephalus,94,teeth
Laelia pumila,94,live
Ferocactus gracilis,93,live
Lonchura cantans,93,live
Acropora digitifera,93,live
Cereus hildmannianus,93,live
Seidenfadenia mitrata,93,live
Ursus americanus,93,teeth
Ornithoptera croesus,93,bodies
Mustela sibirica,92,plates
Panthera pardus,92,live
Paphiopedilum bellatulum,92,live
Pionus maximiliani,92,live
Rhipsalis burchellii,92,live
Bubo bubo,92,live
Cacatua leadbeateri,92,live
Hippocampus reidi,92,live
Hylocereus undatus,91,live
Acropora cerealis,91,live
Acropora efflorescens,91,live
Acropora plana,91,live
Crocodylus novaeguineae,91,garments
Paphiopedilum godefroyae,91,live
Parodia microsperma,91,live
Mammillaria magnifica,90,live
Mammillaria microhelia,90,live
Pescatoria spp.,90,live
