year,name,trade_count
2000,Mammillaria carmenae,9
2000,Miltonia spp.,9
2000,Morelia viridis,9
2000,Nepenthes spp.,9
2000,Pavona spp.,9
2000,Serinus leucopygius,9
2000,Thelocactus bicolor,9
2000,Trichoglossus haematodus,9
2000,Trioceros melleri,9
2000,Accipiter nisus,8
2000,Acineta superba,8
2000,Amazona albifrons,8
2000,Amazona finschi,8
2000,Balaenoptera musculus,8
2000,Bothrochilus boa,8
2000,Coryphantha elephantidens,8
2000,Crocodylus hybrid,8
2000,Dendrobates leucomelas,8
2000,Dendrobium heterocarpum,8
2000,Dendrobium spectabile,8
2000,Echinocereus rigidissimus,8
2000,Falco cherrug,8
2000,Felis silvestris,8
2000,Ferocactus echidne,8
2000,Gymnocalycium anisitsii,8
2000,Gymnocalycium quehlianum,8
2000,Kinyongia fischeri,8
2000,Kinyongia tavetana,8
2000,Mammillaria pectinifera,8
2000,Manouria emys,8
2000,Montipora verrucosa,8
2000,Neopsephotus bourkii,8
2000,Parodia maassii,8
2000,Pectinia spp.,8
2000,Polyphyllia spp.,8
2000,Polytelis alexandrae,8
2000,Testudo graeca,8
2000,Varanus doreanus,8
2000,Vidua orientalis,8
2000,Acinonyx jubatus,7
2000,Acipenseriformes spp.,7
2000,Aldabrachelys gigantea,7
2000,Amazona farinosa,7
2000,Ambystoma mexicanum,7
2000,Apodora papuana,7
2000,Ara severus,7
2000,Ariocarpus kotschoubeyanus,7
2000,Astrophytum asterias,7
2000,Candoia aspera,7
2000,Cattleya luteola,7
2000,Cattleya skinneri,7
2000,Ceratostylis spp.,7
2000,Chamaeleo jacksonii,7
2000,Chersina angulata,7
2000,Dendrobium fimbriatum,7
2000,Dendrobium jacobsonii,7
2000,Distichopora spp.,7
2000,Dracula sibundoyensis,7
2000,Epidendrum spp.,7
2000,Eretmochelys imbricata,7
2000,Euphorbia hybrid,7
2000,Galanthus spp.,7
2000,Kinixys homeana,7
2000,Lorius garrulus,7
2000,Manis javanica,7
2000,Montipora foliosa,7
2000,Myiopsitta monachus,7
2000,Naja naja,7
2000,Oena capensis,7
2000,Opuntia engelmannii,7
2000,Opuntia microdasys,7
2000,Papio spp.,7
2000,Phelsuma madagascariensis,7
2000,Physogyra spp.,7
2000,Prunus africana,7
2000,Seriatopora hystrix,7
2000,Sphaeropteris glauca,7
2000,Stylophora spp.,7
2000,Thelocactus hexaedrophorus,7
2000,Troides helena,7
2000,Tubastraea spp.,7
2000,Varanus albigularis,7
2000,Agapornis nigrigenis,6
2000,Alisterus chloropterus,6
2000,Ameerega trivittata,6
2000,Antilope cervicapra,6
2000,Arapaima gigas,6
2000,Ariocarpus fissuratus,6
2000,Ariocarpus retusus,6
2000,Ascocentrum miniatum,6
2000,Barbosella prorepens,6
2000,Bison bison athabascae,6
2000,Bolborhynchus lineola,6
2000,Bollea hirtzii,6
2000,Caloenas nicobarica,6
2000,Caretta caretta,6
2000,Catasetum microglossum,6
2000,Cattleya nobilior,6
2000,Cattleya porphyroglossa,6
2000,Coelogyne rochussenii,6
2000,Corucia zebrata,6
2000,Cyatheaceae spp.,6
2000,Cycas spp.,6
2000,Cyclamen spp.,6
2000,Dendrobium arcuatum,6
2000,Dendrobium capillipes,6
2000,Dendrobium crepidatum,6
2000,Dendrobium gratiosissimum,6
2000,Dendrobium mutabile,6
2000,Dendrobium pulchellum,6
2000,Dendrobium senile,6
2000,Diopsittaca nobilis,6
2000,Echinopsis aurea,6
2000,Eolophus roseicapilla,6
2000,Euplectes afer,6
2000,Euplectes franciscanus,6
2000,Furcifer oustaleti,6
2000,Galanthus elwesii,6
2000,Gymnocalycium mihanovichii,6
2000,Kinixys belliana,6
2000,Leiopython albertisii,6
2000,Lorius lory,6
2000,Moschus spp.,6
2000,Mycedium spp.,6
2000,Neophema elegans,6
2000,Oroya peruviana,6
2000,Pachycereus pecten-aboriginum,6
2000,Pachyseris spp.,6
2000,Python spp.,6
2000,Pyxis planicauda,6
2000,Ramphastos tucanus,6
2000,Rebutia heliosa,6
2000,Rebutia pygmaea,6
2000,Sobralia spp.,6
2000,Stanhopea spp.,6
2000,Streptopelia senegalensis,6
2000,Thelocactus rinconensis,6
2000,Tillandsia harrisii,6
2000,Trioceros werneri,6
2000,Varanus spp.,6
2000,Acanthocereus tetragonus,5
2000,Adelphobates quinquevittatus,5
2000,Alopochen aegyptiaca,5
2000,Anas crecca,5
